date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
06/09/2018,2018,0,0,PHI,ATL,1646.78633,1600.64044,0.654709871,18,12,1
09/09/2018,2018,0,0,MIA,TEN,1449.87053,1495.841219,0.527358029,27,20,1
09/09/2018,2018,0,0,NE,HOU,1651.078663,1397.603393,0.862153315,27,20,1
09/09/2018,2018,0,0,MIN,SF,1602.219546,1469.474445,0.757369642,24,16,1
09/09/2018,2018,0,0,NO,TB,1584.49034,1469.481636,0.738118718,40,48,0
09/09/2018,2018,0,0,NYG,JAX,1411.677494,1534.818404,0.41710089,15,20,0
09/09/2018,2018,0,0,BAL,BUF,1535.270103,1502.216567,0.6374796,47,3,1
09/09/2018,2018,0,0,IND,CIN,1406.904376,1474.615256,0.496098809,23,34,0
09/09/2018,2018,0,0,CLE,PIT,1301.910164,1595.802933,0.211215753,21,21,0.5
09/09/2018,2018,0,0,LAC,KC,1544.922535,1570.892675,0.555933397,28,38,0
09/09/2018,2018,0,0,CAR,DAL,1549.961445,1547.239762,0.596243543,16,8,1
09/09/2018,2018,0,0,ARI,WSH,1482.654417,1471.502394,0.60786968,6,24,0
09/09/2018,2018,0,0,DEN,SEA,1450.227605,1545.04615,0.457192716,27,24,1
09/09/2018,2018,0,0,GB,CHI,1471.719666,1443.862147,0.630539239,24,23,1
10/09/2018,2018,0,0,DET,NYJ,1523.50845,1432.475733,0.710578747,17,48,0
10/09/2018,2018,0,0,OAK,LAR,1464.895341,1529.948656,0.499923274,13,33,0
13/09/2018,2018,0,0,CIN,BAL,1499.240097,1561.692326,0.503666471,34,23,1
16/09/2018,2018,0,0,WSH,IND,1508.582613,1382.279534,0.75049032,9,21,0
16/09/2018,2018,0,0,TB,PHI,1504.808399,1659.578148,0.373611051,27,21,1
16/09/2018,2018,0,0,PIT,KC,1586.995454,1598.035615,0.577036052,37,42,0
16/09/2018,2018,0,0,BUF,LAC,1475.794344,1517.779595,0.533072525,20,31,0
16/09/2018,2018,0,0,GB,MIN,1476.634054,1612.002483,0.400094052,29,29,0.5
16/09/2018,2018,0,0,TEN,HOU,1476.353157,1392.595466,0.701890828,20,17,1
16/09/2018,2018,0,0,ATL,CAR,1587.848622,1567.174456,0.620855306,31,24,1
16/09/2018,2018,0,0,NYJ,MIA,1485.489225,1469.358591,0.614679484,12,20,0
16/09/2018,2018,0,0,NO,CLE,1549.163577,1310.717644,0.851545599,21,18,1
16/09/2018,2018,0,0,LAR,ARI,1560.388471,1445.574198,0.737902312,34,0,1
16/09/2018,2018,0,0,SF,DET,1459.691508,1470.494958,0.577368585,30,27,1
16/09/2018,2018,0,0,JAX,NE,1549.380453,1656.086591,0.440266678,31,20,1
16/09/2018,2018,0,0,DEN,OAK,1465.484205,1434.455526,0.634781609,20,19,1
16/09/2018,2018,0,0,DAL,NYG,1530.02675,1397.115446,0.75754541,20,13,1
17/09/2018,2018,0,0,CHI,SEA,1438.94776,1529.789551,0.462879101,24,17,1
20/09/2018,2018,0,0,CLE,NYJ,1307.100523,1457.443178,0.379594007,21,17,1
23/09/2018,2018,0,0,BAL,DEN,1537.05401,1470.335452,0.680969969,27,14,1
23/09/2018,2018,0,0,WSH,GB,1466.416637,1479.681033,0.573908063,31,17,1
23/09/2018,2018,0,0,PHI,IND,1634.163172,1424.44551,0.829402982,20,16,1
23/09/2018,2018,0,0,MIN,BUF,1608.955504,1449.021558,0.784962561,6,27,0
23/09/2018,2018,0,0,MIA,OAK,1497.404638,1429.604278,0.682321334,28,20,1
23/09/2018,2018,0,0,HOU,NYG,1384.853607,1387.864275,0.588275097,22,27,0
23/09/2018,2018,0,0,JAX,TEN,1577.735693,1484.095016,0.713656404,6,9,0
23/09/2018,2018,0,0,KC,SF,1619.233742,1471.127613,0.773247049,38,27,1
23/09/2018,2018,0,0,CAR,CIN,1551.997312,1523.878414,0.630889686,31,21,1
23/09/2018,2018,0,0,ATL,NO,1603.025766,1552.780698,0.660024622,37,43,0
23/09/2018,2018,0,0,LAR,LAC,1577.617266,1544.552381,0.637494697,35,23,1
23/09/2018,2018,0,0,SEA,DAL,1507.185811,1539.277921,0.547217146,24,13,1
23/09/2018,2018,0,0,ARI,CHI,1428.345403,1461.5515,0.545627811,14,16,0
23/09/2018,2018,0,0,DET,NE,1459.058853,1627.73135,0.355079152,26,10,1
24/09/2018,2018,0,0,TB,PIT,1530.223375,1565.797327,0.542246521,27,30,0
27/09/2018,2018,0,0,LAR,MIN,1595.419871,1554.901861,0.647349874,38,31,1
30/09/2018,2018,0,0,CHI,TB,1473.715966,1514.985292,0.534098176,,,
30/09/2018,2018,0,0,IND,HOU,1419.563792,1363.161438,0.667932338,,,
30/09/2018,2018,0,0,GB,BUF,1457.133693,1503.0752,0.527399899,,,
30/09/2018,2018,0,0,ATL,CIN,1575.91882,1506.895489,0.683845352,,,
30/09/2018,2018,0,0,JAX,NYJ,1556.411243,1436.667133,0.743353602,,,
30/09/2018,2018,0,0,NE,MIA,1589.380125,1510.570146,0.695897335,,,
30/09/2018,2018,0,0,TEN,PHI,1505.419466,1639.04489,0.402504688,,,
30/09/2018,2018,0,0,DAL,DET,1517.107093,1497.410078,0.619530333,,,
30/09/2018,2018,0,0,OAK,CLE,1416.438771,1327.876568,0.707645281,,,
30/09/2018,2018,0,0,ARI,SEA,1416.180936,1529.356639,0.431110534,,,
30/09/2018,2018,0,0,NYG,NO,1409.556444,1579.887643,0.352895659,,,
30/09/2018,2018,0,0,LAC,SF,1526.749777,1460.853619,0.679940603,,,
30/09/2018,2018,0,0,PIT,BAL,1581.035409,1552.94156,0.630856107,,,
01/10/2018,2018,0,0,DEN,KC,1454.447902,1629.507735,0.346704816,,,
04/10/2018,2018,0,0,NE,IND,,,,,,
07/10/2018,2018,0,0,BUF,TEN,,,,,,
07/10/2018,2018,0,0,CAR,NYG,1568.980237,,,,,
07/10/2018,2018,0,0,NYJ,DEN,,,,,,
07/10/2018,2018,0,0,DET,GB,,,,,,
07/10/2018,2018,0,0,CLE,BAL,,,,,,
07/10/2018,2018,0,0,CIN,MIA,,,,,,
07/10/2018,2018,0,0,KC,JAX,,,,,,
07/10/2018,2018,0,0,PIT,ATL,,,,,,
07/10/2018,2018,0,0,LAC,OAK,,,,,,
07/10/2018,2018,0,0,SF,ARI,,,,,,
07/10/2018,2018,0,0,SEA,LAR,,1609.414936,,,,
07/10/2018,2018,0,0,PHI,MIN,,1540.906796,,,,
07/10/2018,2018,0,0,HOU,DAL,,,,,,
08/10/2018,2018,0,0,NO,WSH,,1488.963977,,,,
11/10/2018,2018,0,0,NYG,PHI,,,,,,
14/10/2018,2018,0,0,MIA,CHI,,,,,,
14/10/2018,2018,0,0,CLE,LAC,,,,,,
14/10/2018,2018,0,0,HOU,BUF,,,,,,
14/10/2018,2018,0,0,ATL,TB,,,,,,
14/10/2018,2018,0,0,WSH,CAR,,,,,,
14/10/2018,2018,1,0,OAK,SEA,,,,,,
14/10/2018,2018,0,0,NYJ,IND,,,,,,
14/10/2018,2018,0,0,MIN,ARI,,,,,,
14/10/2018,2018,0,0,CIN,PIT,,,,,,
14/10/2018,2018,0,0,DEN,LAR,,,,,,
14/10/2018,2018,0,0,TEN,BAL,,,,,,
14/10/2018,2018,0,0,DAL,JAX,,,,,,
14/10/2018,2018,0,0,NE,KC,,,,,,
15/10/2018,2018,0,0,GB,SF,,,,,,
18/10/2018,2018,0,0,ARI,DEN,,,,,,
21/10/2018,2018,1,0,LAC,TEN,,,,,,
21/10/2018,2018,0,0,KC,CIN,,,,,,
21/10/2018,2018,0,0,NYJ,MIN,,,,,,
21/10/2018,2018,0,0,MIA,DET,,,,,,
21/10/2018,2018,0,0,CHI,NE,,,,,,
21/10/2018,2018,0,0,IND,BUF,,,,,,
21/10/2018,2018,0,0,JAX,HOU,,,,,,
21/10/2018,2018,0,0,PHI,CAR,,,,,,
21/10/2018,2018,0,0,TB,CLE,,,,,,
21/10/2018,2018,0,0,BAL,NO,,,,,,
21/10/2018,2018,0,0,WSH,DAL,,,,,,
21/10/2018,2018,0,0,SF,LAR,,,,,,
22/10/2018,2018,0,0,ATL,NYG,,,,,,
25/10/2018,2018,0,0,HOU,MIA,,,,,,
28/10/2018,2018,1,0,JAX,PHI,,,,,,
28/10/2018,2018,0,0,CAR,BAL,,,,,,
28/10/2018,2018,0,0,KC,DEN,,,,,,
28/10/2018,2018,0,0,PIT,CLE,,,,,,
28/10/2018,2018,0,0,NYG,WSH,,,,,,
28/10/2018,2018,0,0,DET,SEA,,,,,,
28/10/2018,2018,0,0,CIN,TB,,,,,,
28/10/2018,2018,0,0,CHI,NYJ,,,,,,
28/10/2018,2018,0,0,OAK,IND,,,,,,
28/10/2018,2018,0,0,LAR,GB,,,,,,
28/10/2018,2018,0,0,ARI,SF,,,,,,
28/10/2018,2018,0,0,MIN,NO,,,,,,
29/10/2018,2018,0,0,BUF,NE,,,,,,
01/11/2018,2018,0,0,SF,OAK,,,,,,
04/11/2018,2018,0,0,CLE,KC,,,,,,
04/11/2018,2018,0,0,WSH,ATL,,,,,,
04/11/2018,2018,0,0,MIN,DET,,,,,,
04/11/2018,2018,0,0,BAL,PIT,,,,,,
04/11/2018,2018,0,0,MIA,NYJ,,,,,,
04/11/2018,2018,0,0,CAR,TB,,,,,,
04/11/2018,2018,0,0,BUF,CHI,,,,,,
04/11/2018,2018,0,0,SEA,LAC,,,,,,
04/11/2018,2018,0,0,DEN,HOU,,,,,,
04/11/2018,2018,0,0,NO,LAR,,,,,,
04/11/2018,2018,0,0,NE,GB,,,,,,
05/11/2018,2018,0,0,DAL,TEN,,,,,,
08/11/2018,2018,0,0,PIT,CAR,,,,,,
11/11/2018,2018,0,0,KC,ARI,,,,,,
11/11/2018,2018,0,0,CHI,DET,,,,,,
11/11/2018,2018,0,0,IND,JAX,,,,,,
11/11/2018,2018,0,0,GB,MIA,,,,,,
11/11/2018,2018,0,0,CLE,ATL,,,,,,
11/11/2018,2018,0,0,CIN,NO,,,,,,
11/11/2018,2018,0,0,NYJ,BUF,,,,,,
11/11/2018,2018,0,0,TB,WSH,,,,,,
11/11/2018,2018,0,0,TEN,NE,,,,,,
11/11/2018,2018,0,0,OAK,LAC,,,,,,
11/11/2018,2018,0,0,LAR,SEA,,,,,,
11/11/2018,2018,0,0,PHI,DAL,,,,,,
12/11/2018,2018,0,0,SF,NYG,,,,,,
15/11/2018,2018,0,0,SEA,GB,,,,,,
18/11/2018,2018,0,0,ATL,DAL,,,,,,
18/11/2018,2018,0,0,BAL,CIN,,,,,,
18/11/2018,2018,0,0,CHI,MIN,,,,,,
18/11/2018,2018,0,0,DET,CAR,,,,,,
18/11/2018,2018,0,0,IND,TEN,,,,,,
18/11/2018,2018,0,0,NYG,TB,,,,,,
18/11/2018,2018,0,0,NO,PHI,,,,,,
18/11/2018,2018,0,0,WSH,HOU,,,,,,
18/11/2018,2018,0,0,LAC,DEN,,,,,,
18/11/2018,2018,0,0,ARI,OAK,,,,,,
18/11/2018,2018,0,0,JAX,PIT,,,,,,
19/11/2018,2018,1,0,LAR,KC,,,,,,
22/11/2018,2018,0,0,DET,CHI,,,,,,
22/11/2018,2018,0,0,DAL,WSH,,,,,,
22/11/2018,2018,0,0,NO,ATL,,,,,,
25/11/2018,2018,0,0,BAL,OAK,,,,,,
25/11/2018,2018,0,0,PHI,NYG,,,,,,
25/11/2018,2018,0,0,NYJ,NE,,,,,,
25/11/2018,2018,0,0,TB,SF,,,,,,
25/11/2018,2018,0,0,IND,MIA,,,,,,
25/11/2018,2018,0,0,CIN,CLE,,,,,,
25/11/2018,2018,0,0,CAR,SEA,,,,,,
25/11/2018,2018,0,0,BUF,JAX,,,,,,
25/11/2018,2018,0,0,LAC,ARI,,,,,,
25/11/2018,2018,0,0,DEN,PIT,,,,,,
25/11/2018,2018,0,0,MIN,GB,,,,,,
26/11/2018,2018,0,0,HOU,TEN,,,,,,
29/11/2018,2018,0,0,DAL,NO,,,,,,
02/12/2018,2018,0,0,NYG,CHI,,,,,,
02/12/2018,2018,0,0,GB,ARI,,,,,,
02/12/2018,2018,0,0,HOU,CLE,,,,,,
02/12/2018,2018,0,0,JAX,IND,,,,,,
02/12/2018,2018,0,0,DET,LAR,,,,,,
02/12/2018,2018,0,0,CIN,DEN,,,,,,
02/12/2018,2018,0,0,MIA,BUF,,,,,,
02/12/2018,2018,0,0,ATL,BAL,,,,,,
02/12/2018,2018,0,0,PIT,LAC,,,,,,
02/12/2018,2018,0,0,TB,CAR,,,,,,
02/12/2018,2018,0,0,TEN,NYJ,,,,,,
02/12/2018,2018,0,0,OAK,KC,,,,,,
02/12/2018,2018,0,0,NE,MIN,,,,,,
02/12/2018,2018,0,0,SEA,SF,,,,,,
03/12/2018,2018,0,0,PHI,WSH,,,,,,
06/12/2018,2018,0,0,TEN,JAX,,,,,,
09/12/2018,2018,0,0,HOU,IND,,,,,,
09/12/2018,2018,0,0,CLE,CAR,,,,,,
09/12/2018,2018,0,0,BUF,NYJ,,,,,,
09/12/2018,2018,0,0,WSH,NYG,,,,,,
09/12/2018,2018,0,0,TB,NO,,,,,,
09/12/2018,2018,0,0,MIA,NE,,,,,,
09/12/2018,2018,0,0,KC,BAL,,,,,,
09/12/2018,2018,0,0,CHI,LAR,,,,,,
09/12/2018,2018,0,0,GB,ATL,,,,,,
09/12/2018,2018,0,0,LAC,CIN,,,,,,
09/12/2018,2018,0,0,SF,DEN,,,,,,
09/12/2018,2018,0,0,DAL,PHI,,,,,,
09/12/2018,2018,0,0,ARI,DET,,,,,,
09/12/2018,2018,0,0,OAK,PIT,,,,,,
10/12/2018,2018,0,0,SEA,MIN,,,,,,
13/12/2018,2018,0,0,KC,LAC,,,,,,
15/12/2018,2018,0,0,DEN,CLE,,,,,,
15/12/2018,2018,0,0,NYJ,HOU,,,,,,
16/12/2018,2018,0,0,IND,DAL,,,,,,
16/12/2018,2018,0,0,JAX,WSH,,,,,,
16/12/2018,2018,0,0,MIN,MIA,,,,,,
16/12/2018,2018,0,0,NYG,TEN,,,,,,
16/12/2018,2018,0,0,CIN,OAK,,,,,,
16/12/2018,2018,0,0,ATL,ARI,,,,,,
16/12/2018,2018,0,0,BAL,TB,,,,,,
16/12/2018,2018,0,0,BUF,DET,,,,,,
16/12/2018,2018,0,0,CHI,GB,,,,,,
16/12/2018,2018,0,0,SF,SEA,,,,,,
